date,theme,asset,underlying,symbol,weight
2024-09-20,Value Recovery3,Equity,Japan & Korea Value Stocks,,2.4
2024-09-20,Value Recovery3,Equity,Anti-Value Stocks,,-2.4
2024-09-20,Value Recovery1,Equity,EM (ex-CN & IN) Profitable & Stable Value Stocks,,1.5
2024-09-20,Value Recovery1,Equity,EM Equities,,-1.5
2024-09-20,,Equity,EMU Profitable & Stable Value Stocks,,1.2
2024-09-20,,Equity,Low-Quality Anti-Value Stocks,,-1.2
2024-09-20,Value Recovery4,Equity,U.S. Broad Value,,1.2
2024-09-20,Value Recovery4,Equity,U.S. Broad Anti-Value,,-1.2
2024-09-20,,Equity,EMU Large-Cap Value Stocks,,0.9
2024-09-20,,Equity,Large-Cap Anti-Value Stocks,,-0.9
2024-09-20,EMU Recovery,Equity,EMU Domestic Stocks,,2.0
2024-09-20,EMU Recovery,Equity,U.S. Domestic Stocks,,-2.0
2024-09-20,,Equity,EMU Bank Stocks,,1.7
2024-09-20,,Equity,EMU Equities,,-1.7
2024-09-20,Small Cap Outperformance,Equity,U.S. Small-Cap Stocks,,1.3
2024-09-20,Small Cap Outperformance,Equity,U.S. Large-Cap Stocks,,-1.3
2024-09-20,RoW Outperformance,Equity,Chinese Equities,,-1.0
2024-09-20,RoW Outperformance,Equity,Global Equities,,1.0
2024-09-20,Lights Back on in South Africa2,Equity,South African Bank Stocks,,0.9
2024-09-20,Lights Back on in South Africa2,Equity,EM Equities,,-0.9
2024-09-20,Tariff Risk5,Equity,U.S. Cyclical Stocks,,-0.7
2024-09-20,Tariff Risk5,Equity,U.S. Defensive Stocks,,0.7
2024-09-20,,Equity,Global Energy Equities,,0.4
2024-09-20,,Fixed Income,China 5- & 10 Year Bonds,,4.3
2024-09-20,Lights Back on in South Africa1,Fixed Income,South African 10-Year Bonds,,2.2
2024-09-20,Lights Back on in South Africa1,Fixed Income,U.S. 10-Year Treasuries,,-2.2
2024-09-20,Overpriced Gold,Fixed Income,Gold,,-1.2
2024-09-20,Overpriced Gold,Fixed Income,U.S. 10-Year TIPS & DM FX vs. USD,,1.6
2024-09-20,Brazil Real Rates Peaking,Fixed Income,Brazil 4-Year Bonds,,1.2
2024-09-20,Brazil Real Rates Peaking,Fixed Income,U.S. 5-Year Treasuries,,-1.2
2024-09-20,,Fixed Income,EUR 10-Year Inflation Swaps,,-2.6
2024-09-20,,Fixed Income,U.S. Exploration and Production Stocks,,0.115
2024-09-20,Lights Back on in South Africa1,Fixed Income,U.S. 10-Year Treasuries,,-2.5
2024-09-20,US Growth Slowdown,Currency,Euro,,1.6
2024-09-20,US Growth Slowdown,Currency,U.S. Dollar,,-1.6
2024-09-20,Turkey Disinflation,Currency,Turkish Lira,,1.4
2024-09-20,Turkey Disinflation,Currency,U.S. Dollar,,-1.4
2024-09-20,Overpriced Gold,Commodity,Gold,,-1.2
2024-09-20,Overpriced Gold,Commodity,U.S. 10-Year TIPS & DM FX vs. USD,,1.6
